Verb,URL
ATG-PS-Add,https://github.com/AmbitionsTechnologyGroup/ATG-PS-Functions/raw/master/Functions/ATG-PS-Add.txt
ATG-PS-Backup,https://github.com/AmbitionsTechnologyGroup/ATG-PS-Functions/raw/master/Functions/ATG-PS-Backup.txt
ATG-PS-Connect,https://github.com/AmbitionsTechnologyGroup/ATG-PS-Functions/raw/master/Functions/ATG-PS-Connect.txt
ATG-PS-Convert,https://github.com/AmbitionsTechnologyGroup/ATG-PS-Functions/raw/master/Functions/ATG-PS-Convert.txt
ATG-PS-Debug,https://github.com/AmbitionsTechnologyGroup/ATG-PS-Functions/raw/master/Functions/ATG-PS-Debug.txt
ATG-PS-Disable,https://github.com/AmbitionsTechnologyGroup/ATG-PS-Functions/raw/master/Functions/ATG-PS-Disable.txt
ATG-PS-Disconnect,https://github.com/AmbitionsTechnologyGroup/ATG-PS-Functions/raw/master/Functions/ATG-PS-Disconnect.txt
ATG-PS-Enable,https://github.com/AmbitionsTechnologyGroup/ATG-PS-Functions/raw/master/Functions/ATG-PS-Enable.txt
ATG-PS-Expand,https://github.com/AmbitionsTechnologyGroup/ATG-PS-Functions/raw/master/Functions/ATG-PS-Expand.txt
ATG-PS-Export,https://github.com/AmbitionsTechnologyGroup/ATG-PS-Functions/raw/master/Functions/ATG-PS-Export.txt
ATG-PS-Get,https://github.com/AmbitionsTechnologyGroup/ATG-PS-Functions/raw/master/Functions/ATG-PS-Get.txt
ATG-PS-Import,https://raw.githubusercontent.com/AmbitionsTechnologyGroup/ATG-PS-Functions/master/Functions/ATG-PS-Import.txt
ATG-PS-Install,https://github.com/AmbitionsTechnologyGroup/ATG-PS-Functions/raw/master/Functions/ATG-PS-Install.txt
ATG-PS-Invoke,https://github.com/AmbitionsTechnologyGroup/ATG-PS-Functions/raw/master/Functions/ATG-PS-Invoke.txt
ATG-PS-Join,https://github.com/AmbitionsTechnologyGroup/ATG-PS-Functions/raw/master/Functions/ATG-PS-Join.txt
ATG-PS-Optimize,https://github.com/AmbitionsTechnologyGroup/ATG-PS-Functions/raw/master/Functions/ATG-PS-Optimize.txt
ATG-PS-Remove,https://github.com/AmbitionsTechnologyGroup/ATG-PS-Functions/raw/master/Functions/ATG-PS-Remove.txt
ATG-PS-Rename,https://github.com/AmbitionsTechnologyGroup/ATG-PS-Functions/raw/master/Functions/ATG-PS-Rename.txt
ATG-PS-Repair,https://github.com/AmbitionsTechnologyGroup/ATG-PS-Functions/raw/master/Functions/ATG-PS-Repair.txt
ATG-PS-Restore,https://github.com/AmbitionsTechnologyGroup/ATG-PS-Functions/raw/master/Functions/ATG-PS-Restore.txt
ATG-PS-Set,https://github.com/AmbitionsTechnologyGroup/ATG-PS-Functions/raw/master/Functions/ATG-PS-Set.txt
ATG-PS-Start,https://github.com/AmbitionsTechnologyGroup/ATG-PS-Functions/raw/master/Functions/ATG-PS-Start.txt
ATG-PS-Uninstall,https://github.com/AmbitionsTechnologyGroup/ATG-PS-Functions/raw/master/Functions/ATG-PS-Uninstall.txt
ATG-PS-Update,https://github.com/AmbitionsTechnologyGroup/ATG-PS-Functions/raw/master/Functions/ATG-PS-Update.txt
