Code,Site,GUID
AAIHB,Albuquerque Area Indian Health Board,4bdf5da4-f53b-11ef-a48d-1bbb9a160975
ACG,Ambitions Consulting Group,5f3c3b74-facc-11ef-bf07-d9d2083e9c04
EES,Enterprise Electrical Services,
LiftsWest,Lifts West Condominium Resort Hotel,
MBI,Murphy Builders Inc.,
NHFH,New Heart Fitness & Health,
NMC,New Mexico Counties,e5673284-facd-11ef-b66b-bde2b876d45f
PBWS,Pregenzer Baysinger Wideman & Sale P.C.,
RRA,Robles Rael and Anaya P.C.,
SFSW,Santa Fe Solid Waste Management,
SSJ,Salazar Sullivan & Jasionowski,
TLF,The Turner Law Firm,
TCNM,Torrance County,
TRR,Town of Red River,7d663314-0406-11f0-863b-375921ab8e9f
VOFS,Village of Fort Sumner,
VOQ,Village of Questa,be33da74-fe9b-11ef-8069-bdbc9a9cb538
VTSV,Village of Taos Ski Valley,
WFL,Walther Family Law,
