Code,Site,msiURL,ExtIPs,Choco
AAIHB,Albuquerque Area Indian Health Board,https://prod.setup.itsupport247.net/windows/DPMA/32/atg_AAIHB_DPMA_ITSPlatform_TKN3e604fd5-179c-4c40-ac89-61cc108e255c/MSI/setup,"173.12.204.205 ",
ACG,Ambitions Consulting Group,https://prod.setup.itsupport247.net/windows/DPMA/32/atg_ACG_DPMA_ITSPlatform_TKN3882d625-3bbf-4ad5-9ca0-d226ec86ad7d/MSI/setup,216.31.88.98,
ALF,Archibeque Law Firm,https://prod.setup.itsupport247.net/windows/DPMA/32/atg_ALF_DPMA_ITSPlatform_TKN78f11b0c-8c7f-4ed5-99c8-dbce48b1378b/MSI/setup,"65.153.84.154       ",
BFL,Batley Family Law,https://prod.setup.itsupport247.net/windows/DPMA/32/atg_LGTB_DPMA_ITSPlatform_TKN07ed6b32-6885-483c-951f-f30883a4c330/MSI/setup,"96.92.77.61 100.97.97.176      ",
BH,Beyond Health,https://prod.setup.itsupport247.net/windows/DPMA/32/atg_DCHC_DPMA_ITSPlatform_TKN7fe1bdb1-e6a8-4140-9e8a-4bc0198fd89a/MSI/setup,73.242.203.229,
CASC,Century Automotive Service Corporation,https://prod.setup.itsupport247.net/windows/DPMA/32/atg_CASC_DPMA_ITSPlatform_TKNfbb61ae6-37e8-4fd1-9cdf-fd7233bb07de/MSI/setup,65.124.83.210 96.88.1.161,http://sus002003-104.int.mapfre.net:8081/repository/chocolatey-group/
EES,Enterprise Electrical Services,https://prod.setup.itsupport247.net/windows/DPMA/32/atg_EES_DPMA_ITSPlatform_TKN4ce95a9a-7561-42bd-8676-e32d2fb7b0f0/MSI/setup,"23.31.118.53       ",
HW,HopeWorks,https://prod.setup.itsupport247.net/windows/DPMA/32/atg_SMHC_DPMA_ITSPlatform_TKN152bc0c1-9a4a-414c-b2eb-f211d7740d9f/MSI/setup,66.162.154.130 209.12.160.110 50.213.129.33,
JAL,Jeff Albright Law,https://prod.setup.itsupport247.net/windows/DPMA/32/atg_JAL_DPMA_ITSPlatform_TKNae94a26b-62e3-43c9-b26f-4957e584deb2/MSI/setup,207.224.144.50,
KAEHR,Kaehr Corporation,https://prod.setup.itsupport247.net/windows/DPMA/32/atg_KCORP_DPMA_ITSPlatform_TKN902c3aea-802f-4fc4-a398-8360e0dd2b03/MSI/setup,"96.88.4.241       ",
LWH,Lifts West Condominium Resort Hotel,https://prod.setup.itsupport247.net/windows/DPMA/32/atg_LWH_DPMA_ITSPlatform_TKNca5f78c9-7575-4cc9-8057-2af7e81bae97/MSI/setup,"216.158.240.215       ",
MBI,Murphy Builders Inc.,https://prod.setup.itsupport247.net/windows/DPMA/32/atg_MBI_DPMA_ITSPlatform_TKN11f398c8-6544-48d2-b202-8b25c1dfc280/MSI/setup,"50.79.222.225       ",
MWT,Mark W. Taylor & Associates,https://prod.setup.itsupport247.net/windows/DPMA/32/atg_MWTA_DPMA_ITSPlatform_TKNc7f61227-2469-4e82-91c4-e0221bee054d/MSI/setup,199.30.85.141 69.92.144.64,
NMAG,New Mexico Attorney General's Office,https://prod.setup.itsupport247.net/windows/DPMA/32/atg_NMAG_DPMA_ITSPlatform_TKNa3d8d0d6-512f-4377-b708-227d70d71bff/MSI/setup,63.225.9.82 216.31.123.34 96.92.78.69 209.181.113.154 209.181.113.146 173.12.207.137,
NMC,New Mexico Counties,https://prod.setup.itsupport247.net/windows/DPMA/32/atg_NMAC_DPMA_ITSPlatform_TKN86e69fee-bc6d-48b9-a65d-26df1aa40d8c/MSI/setup,"206.169.65.254 216.234.200.98 205.159.154.74 205.159.154.75 63.229.160.90 63.229.160.89  ",
NHFH,New Heart Fitness & Health,https://prod.setup.itsupport247.net/windows/DPMA/32/atg_NHFH_DPMA_ITSPlatform_TKNd5cfce31-4ef0-489d-bec7-66bd65830dfa/MSI/setup,96.64.152.73,
