Code,Site,msiURL,ExtIPs,Choco
AAIHB,Albuquerque Area Indian Health Board,https://prod.setup.itsupport247.net/windows/BareboneAgent/32/%20Albuquerque%20Area%20Indian%20Health%20Board%20(%20Albuquerque%20Area%20Indian%20Health%20Board)_Windows_OS_ITSPlatform_TKN3e604fd5-179c-4c40-ac89-61cc108e255c/MSI/setup,"173.12.204.205 ",
ACG,Ambitions Consulting Group,https://prod.setup.itsupport247.net/windows/BareboneAgent/32/Ambitions%20Consulting%20Group%20(Ambitions%20Consulting%20Group)_Windows_OS_ITSPlatform_TKN3882d625-3bbf-4ad5-9ca0-d226ec86ad7d/MSI/setup,63.156.140.154,
BFL,Batley Family Law,https://prod.setup.itsupport247.net/windows/BareboneAgent/32/Batley%20Family%20Law%20(Batley%20Family%20Law)_Windows_OS_ITSPlatform_TKN07ed6b32-6885-483c-951f-f30883a4c330/MSI/setup,"96.92.77.61 100.97.97.176      ",
BH,Beyond Health,https://prod.setup.itsupport247.net/windows/BareboneAgent/32/Beyond%20Health%20(Beyond%20Health)_Windows_OS_ITSPlatform_TKN7fe1bdb1-e6a8-4140-9e8a-4bc0198fd89a/MSI/setup,73.242.203.229,
DLCC,Desert Leaf Cannabis Company,https://prod.setup.itsupport247.net/windows/BareboneAgent/32/Desert%20Leaf%20Cannabis%20Company%20(Desert%20Leaf%20Cannabis%20Company)_Windows_OS_ITSPlatform_TKN72a53aff-43dd-461d-8b70-01379186cecf/MSI/setup,,
EES,Enterprise Electrical Services,https://prod.setup.itsupport247.net/windows/BareboneAgent/32/Enterprise%20Electrical%20Services%20(Enterprise%20Electrical%20Services)_Windows_OS_ITSPlatform_TKN4ce95a9a-7561-42bd-8676-e32d2fb7b0f0/MSI/setup,"23.31.118.53       ",
JAL,Jeff Albright Law,https://prod.setup.itsupport247.net/windows/BareboneAgent/32/Jeff%20Albright%20Law%20(Jeff%20Albright%20Law)_Windows_OS_ITSPlatform_TKNae94a26b-62e3-43c9-b26f-4957e584deb2/MSI/setup,207.224.144.50,
KAEHR,Kaehr Corporation,https://prod.setup.itsupport247.net/windows/BareboneAgent/32/Kaehr%20Corporation%20(Kaehr%20Corporation)_Windows_OS_ITSPlatform_TKN902c3aea-802f-4fc4-a398-8360e0dd2b03/MSI/setup,"96.88.4.241       ",
LMG,Lenann McGookey Gardner,https://prod.setup.itsupport247.net/windows/BareboneAgent/32/Lenann%20McGookey%20Gardner%20Management%20Consulting%20Inc%20%20(Lenann%20McGookey%20Gardner%20Management%20Consulting%20Inc%20)_Windows_OS_ITSPlatform_TKN9e505870-e834-4302-8202-4dd914c4814d/MSI/setup,,
LWH,Lifts West Condominium Resort Hotel,https://prod.setup.itsupport247.net/windows/BareboneAgent/32/Lifts%20West%20Condominium%20Resort%20Hotel%20(Lifts%20West%20Condominium%20Resort%20Hotel)_Windows_OS_ITSPlatform_TKNca5f78c9-7575-4cc9-8057-2af7e81bae97/MSI/setup,"216.158.240.215       ",
MWT,Mark W. Taylor & Associates,https://prod.setup.itsupport247.net/windows/BareboneAgent/32/Mark%20W%20Taylor%20Associates%20PC%20(Mark%20W%20Taylor%20Associates%20PC)_Windows_OS_ITSPlatform_TKNc7f61227-2469-4e82-91c4-e0221bee054d/MSI/setup,199.30.85.141 69.92.144.64,
MBI,Murphy Builders Inc.,https://prod.setup.itsupport247.net/windows/BareboneAgent/32/Murphy%20Builders%20Inc%20(Murphy%20Builders%20Inc)_Windows_OS_ITSPlatform_TKN11f398c8-6544-48d2-b202-8b25c1dfc280/MSI/setup,"50.79.222.225       ",
MGR,MgR Associates,https://prod.setup.itsupport247.net/windows/BareboneAgent/32/MgR%20Associates%20(MgR%20Associates)_Windows_OS_ITSPlatform_TKN77725297-ee77-4cc4-8a24-dfebecc78565/MSI/setup,,
NHFH,New Heart Fitness & Health,https://prod.setup.itsupport247.net/windows/BareboneAgent/32/New%20Heart%20Fitness%20and%20Health%20(New%20Heart%20Fitness%20and%20Health)_Windows_OS_ITSPlatform_TKNd5cfce31-4ef0-489d-bec7-66bd65830dfa/MSI/setup,96.64.152.73,
NMC,New Mexico Counties,https://prod.setup.itsupport247.net/windows/BareboneAgent/32/New%20Mexico%20Counties%20(New%20Mexico%20Counties)_Windows_OS_ITSPlatform_TKN86e69fee-bc6d-48b9-a65d-26df1aa40d8c/MSI/setup,"206.169.65.254 216.234.200.98 205.159.154.74 205.159.154.75 63.229.160.90 63.229.160.89  ",
PBWS,Pregenzer Baysinger Wideman & Sale P.C.,https://prod.setup.itsupport247.net/windows/BareboneAgent/32/Pregenzer%20Baysinger%20Wideman%20and%20Sale%20PC%20(Pregenzer%20Baysinger%20Wideman%20and%20Sale%20PC)_Windows_OS_ITSPlatform_TKNd94e0404-9819-42f7-8a54-787858498650/MSI/setup,"96.92.65.101 207.114.182.34      ",
QCU,Questa Credit Union,https://prod.setup.itsupport247.net/windows/BareboneAgent/32/Questa%20Credit%20Union%20(Questa%20Credit%20Union)_Windows_OS_ITSPlatform_TKN23e29b77-1a9d-4f78-84ae-bd4544daca53/MSI/setup,"  ",
QLHC,Questa Lumber & Hardware Co.,https://prod.setup.itsupport247.net/windows/BareboneAgent/32/Questa%20Lumber%20and%20Hardware%20(Questa%20Lumber%20and%20Hardware)_Windows_OS_ITSPlatform_TKNaa4a325d-588a-4cd0-974e-d8f4d56c5125/MSI/setup,0.0.0.0,
RRA,Robles Rael and Anaya P.C.,https://prod.setup.itsupport247.net/windows/BareboneAgent/32/Robles%20Rael%20and%20Anaya%20%20%20%20%20(Robles%20Rael%20and%20Anaya%20%20%20%20)_Windows_OS_ITSPlatform_TKNc1bbe745-d3c0-4df8-a744-7ae298fe76ae/MSI/setup,"216.31.88.46 96.92.65.217 70.88.163.21     ",
SSJ,Salazar Sullivan & Jasionowski,https://prod.setup.itsupport247.net/windows/BareboneAgent/32/Salazar%20Sullivan%20and%20Jasionowski%20%20(Salazar%20Sullivan%20and%20Jasionowski%20)_Windows_OS_ITSPlatform_TKNfefcf7c1-9149-4266-a623-f4c8b9aad19b/MSI/setup,"70.88.160.73 216.31.116.42      ",
SFSW,Santa Fe Solid Waste Management Agency,https://prod.setup.itsupport247.net/windows/BareboneAgent/32/Santa%20Fe%20Solid%20Waste%20Management%20Agency%20(Santa%20Fe%20Solid%20Waste%20Management%20Agency)_Windows_OS_ITSPlatform_TKN44223a69-5515-495e-a2a1-053958987920/MSI/setup,67.129.157.66,
TCNM,Torrance County,https://prod.setup.itsupport247.net/windows/BareboneAgent/32/Torrance%20County%20(Torrance%20County)_Windows_OS_ITSPlatform_TKNba0a90ac-b021-4c2d-b2b4-0aed709776cf/MSI/setup,"216.243.102.251 74.50.145.250      ",
TRR,Town of Red River,https://prod.setup.itsupport247.net/windows/BareboneAgent/32/Town%20of%20Red%20River%20(Town%20of%20Red%20River)_Windows_OS_ITSPlatform_TKN64d4f96b-7480-4619-ae38-ac1522786fde/MSI/setup,"216.158.242.50 75.161.54.226 75.161.82.27 216.158.242.51 216.158.242.52   ",
VOFS,Village of Fort Sumner,https://prod.setup.itsupport247.net/windows/BareboneAgent/32/Village%20of%20Fort%20Sumner%20(Village%20of%20Fort%20Sumner)_Windows_OS_ITSPlatform_TKN9399431e-1e61-4b9b-8c34-4874dc5368a9/MSI/setup,,
VOQ,Village of Questa,https://prod.setup.itsupport247.net/windows/BareboneAgent/32/Village%20of%20Questa%20(Village%20of%20Questa)_Windows_OS_ITSPlatform_TKNb3217b43-f253-454c-9f38-5cbc9190d946/MSI/setup,"216.158.240.149 216.158.243.33       ",
VTSV,Village of Taos Ski Valley,https://prod.setup.itsupport247.net/windows/BareboneAgent/32/Village%20of%20Taos%20Ski%20Valley%20(Village%20of%20Taos%20Ski%20Valley)_Windows_OS_ITSPlatform_TKNa60f3c3f-b553-43a3-bad5-8fe05b6034bd/MSI/setup,"209.188.116.35       ",
WFL,Walther Family Law,https://prod.setup.itsupport247.net/windows/BareboneAgent/32/Walther%20Family%20Law%20(Walther%20Family%20Law)_Windows_OS_ITSPlatform_TKN097c53d6-c279-436c-8951-34ca3420cfbd/MSI/setup,207.108.252.34 173.163.243.117 173.163.241.57,
